"id","type_1","type_2","type_3","heroId","heroName","eName","cName","rCD","gradient","updateId","wikiId","skinNum","heroVote","tagType","tagText","qqBanTimes","qqBanRate","qqPickTimes","qqPickRate","qqWinTimes","qqWinRate","qqScore","wxBanTimes","wxBanRate","wxPickTimes","wxPickRate","wxWinTimes","wxWinRate","wxScore","allBanTimes","allBanRate","allPickTimes","allPickRate","allWinTimes","allWinRate","allExpectRate","allScore","allScore_ex","avgScore","avgQQFightPower","pickTimes_w","pickTimes_m","skillId_1","skillPickTimes_1","skillPickRate_1","skillId_2","skillPickTimes_2","skillPickRate_2","killCnt","deadCnt","assistCnt","hurtTransRate","totalHurtCnt","totalHeroHurtCnt","totalBehurtCnt","totalBeheroHurtCnt","behurtPerDeath","equipmentMoney","equipmentMoneyMin","joinGamePercent","heroLevel","towerCnt","maxTower","kdaScore","monsterCoin","killSoldier","buildingDamage","ctrlTime","healCnt","winMvpTimes","winMvpRate","loseMvpTimes","loseMvpRate","allMvpRate","evaluateSilverTimes","evaluateSilverRate","evaluateGoldTimes","evaluateGoldRate","allBrandRate","adaptationRate","usedtime","trend","isUp","oldIndex","newIndex","changeValue","onlineTime","adjustmentTime","skinTime","updateTime"
"1","4","1",,"511","猪八戒","zhū_bā_jiè","八戒|猪头|悟能|二师兄|zbj","99","3","320050548",,"1","0",,,"4","0.000221705","730","0.0404611","373","0.510959","33.6679","4","0.000303559","769","0.0583593","400","0.520156","37.7176","8","0.000256254","1499","0.0480156","773","0.515677","0.034354","35.6927","415464","31.5607","11698","6661",,"80104","4865","0.754264","1532","4373","0.677984","2.8532","2.8432","5.7552","0.766044","377212","53129.8","144155","115998","50697.7","10464.3","717.377","0.546153","14.1061","0.2302","0.0654","6.76673","2216.45","26.4843","2154.68","17.6825","66594","145","0.096731","116","0.077385","0.174116","243","0.162108","161","0.107405","0.269513","0.00826446","859.555","2","2","76","65","-0.00207183","30/1/2019 00:00:00","27/6/2024 00:00:00","19/6/2023 00:00:00","11/8/2024 00:30:03"
"2","4","2",,"515","嫦娥","cháng_é","娥子|蛾子|ce","99","1","328323294","24765038","1","0.35",,,"785","0.0435096","3181","0.176311","1787","0.561773","68.7895","799","0.060636","2170","0.164681","1223","0.563594","68.6954","1584","0.0507383","5351","0.171402","3010","0.562512","0.0574652","68.7425","918056","50.0507","13383","21870",,"80104","19204","0.92661","1422","11018","0.531628","3.9776","2.7847","6.0934","1.12715","493183","88580.2","89139.3","68060.8","29984.2","11042.4","779.342","0.637344","14.3508","0.2689","0.0764","8.10052","2786.58","30.0893","2874.12","13.1766","40322.2","1140","0.213044","680","0.127079","0.340123","1202","0.224631","729","0.136236","0.360867","0.115702","854.254","2","2","19","16","0.00541097","16/1/2019 00:00:00","27/6/2024 00:00:00","25/1/2024 00:00:00","11/8/2024 00:30:03"
"3","1",,,"510","孙策","sūn_cè","孙笨|船夫|sc","99","1.5","286315155",,"1","0.3333",,,"4","0.000221705","2624","0.145438","1379","0.525534","55.3921","4","0.000303559","1865","0.141534","928","0.497587","53.2242","8","0.000256254","4489","0.143791","2307","0.513923","0.0730515","54.3081","662233","40.1884","12251","19590",,"80103","16898","0.916129","11311","13266","0.719219","2.8935","4.0312","6.5453","0.749432","246941","46803.4","77154.5","64295.4","18982.7","9517.94","678.809","0.583229","13.8029","0.5217","0.176","4.96648","602.235","41.3232","4367.09","14.9029","13865.9","191","0.042548","228","0.050791","0.093339","484","0.107819","261","0.058142","0.165961","0.00826446","848.725","2","2","31","31","0.00191936","17/7/2018 00:00:00","14/3/2024 00:00:00","23/5/2024 00:00:00","11/8/2024 00:30:03"
"4","4","1",,"198","梦奇","mèng_qí","肥猫|胖猫|胖达|荣荣|mq","99","4","248509092","23425615","1","0","-1","胖猫","1","0.0000554262","316","0.0175147","160","0.506329","28.8263","1","0.0000758898","206","0.0156333","89","0.432039","24.7381","2","0.0000640635","522","0.0167206","249","0.477012","0.00852135","26.7822","293319","32.5767","10967","2368",,"80104","2160","0.954064","1532","552","0.243816","3.3582","2.5153","5.4023","0.89751","476918","67040.1","109341","85023.6","39983.3","10635.9","765.211","0.60642","14.3123","0.7299","0.2548","7.36985","2801.78","28.2261","6472.17","4.64943","6538.65","78","0.149425","69","0.132184","0.281609","106","0.203065","48","0.091954","0.295019","0","854.973","0","0","97","104","-0.000459287","23/10/2017 00:00:00","20/9/2023 00:00:00",,"11/8/2024 00:30:03"
"5","5",,,"194","苏烈","sū_liè","核弹|玄武|大电池|sl","99","2","245344346",,"1","0",,,"18","0.000997672","2099","0.11634","1067","0.508337","48.8095","16","0.00121424","932","0.0707293","469","0.503219","39.4586","34","0.00108908","3031","0.0970883","1536","0.506763","0.0912129","44.134","493816","58.4712","11279","15027",,"80115","14853","0.97891","1721","900","0.0593159","1.2498","3.0709","9.741","0.78004","81368.9","39295.4","112466","99827.3","39426.4","7564.12","531.771","0.679249","13.3537","0.3339","0.0973","7.99421","253.985","8.62851","3328.06","26.4388","38221.9","221","0.072913","104","0.034312","0.107225","489","0.161333","272","0.089739","0.251072","0.00826446","861.107","0","0","50","49","0.00354869","26/9/2017 00:00:00","7/3/2024 00:00:00","30/5/2024 00:00:00","11/8/2024 00:30:03"
"6","4",,,"193","铠","kǎi","肉铠|肉凯|恺爹|凯爹|铠爹|凯皇|铠皇|砍王","99","3.5","235223355","22992312","1","0.25",,,"3","0.000166279","406","0.022503","183","0.450739","27.0583","1","0.0000758898","372","0.028231","180","0.483871","29.8492","4","0.000128127","778","0.0249207","363","0.466581","0.0311803","28.4538","309150","35.2302","10929","3804",,"80104","3744","0.95779","1333","2350","0.601177","3.0231","2.6928","5.8226","0.833291","408523","59219.5","112054","87576.3","40669.3","10396.4","695.485","0.569129","14.1877","0.3843","0.1221","7.26797","2580.66","20.1028","3754.69","26.2776","45426.8","64","0.082262","83","0.106684","0.188946","112","0.143959","81","0.104113","0.248072","0.0165289","883.107","0","3","98","100","0.000318579","18/7/2017 00:00:00","6/2/2024 00:00:00","30/5/2024 00:00:00","11/8/2024 00:30:03"
"7","5",,,"187","东皇太一","dōng_huáng_tài_yī|dōng_huáng","黄鳝|泥鳅|东皇|太一|dhty","99","5","233695689",,"1","0","-1","同归于尽","115","0.00637402","514","0.0284891","242","0.470817","30.0354","208","0.0157851","489","0.0371101","231","0.472393","33.0148","323","0.0103463","1003","0.0321279","473","0.471585","0.0202608","31.5251","328807","113.921","10485","4754",,"80115","4312","0.954193","1422","1946","0.430626","2.2772","4.8784","8.676","1.068","112933","57026.5","109834","97774.9","23040.3","7879.37","548.557","0.619201","13.4666","0.1595","0.0409","4.46088","293.956","11.5773","1059.51","7.5344","37225.3","57","0.05683","43","0.042871","0.099701","122","0.121635","86","0.085743","0.207378","0.0165289","864.37","0","2","101","96","-0.00139177","30/3/2017 00:00:00",,"19/7/2023 00:00:00","11/8/2024 00:30:03"
"8","5",,,"186","太乙真人","tài_yǐ_zhēn_rén","太二|锅炉|太乙|真人|煤气罐|炸药桶|tyzr","99","2","233695377",,"1","0",,,"1084","0.060082","2035","0.112792","1027","0.504668","55.3021","992","0.0752827","1229","0.0932686","606","0.493084","52.7182","2076","0.066498","3264","0.104552","1633","0.500306","0.408339","54.0102","636132","91.1095","11810","15263",,"80115","14531","0.976152","1237","1489","0.100027","1.0646","3.2702","9.6253","0.638143","69431.1","32122.3","99390.5","88507","33481.5","7955.56","544.788","0.663996","13.3934","0.0591","0.0144","7.15638","341.93","7.66544","567.234","23.2368","8286.26","198","0.060662","114","0.034926","0.095588","460","0.140931","337","0.103248","0.244179","0.00826446","861.843","1","0","34","33","0.00277228","24/11/2016 00:00:00","28/3/2024 00:00:00","27/4/2023 00:00:00","11/8/2024 00:30:03"
"9","5",,,"171","张飞","zhāng_fēi","飞飞|飞哥|三弟|翼德|zf","99","1","233693449",,"1","0.6667",,,"74","0.00410154","6576","0.364483","3310","0.503345","98.5765","49","0.0037186","3714","0.281855","1882","0.506731","82.1723","123","0.00393991","10290","0.329607","5192","0.504568","0.204571","90.3744","1053400","138.654","11721","48502",,"80102","46355","0.961323","1335","7131","0.147885","0.7575","2.5565","9.2491","0.5024","64344.5","23850","121720","106618","50466.8","7459.16","526.383","0.664815","13.3383","0.1595","0.0412","8.35856","288.156","6.48115","1334.03","25.7097","14729.4","662","0.064334","380","0.036929","0.101263","1312","0.127502","1128","0.109621","0.237123","0.00826446","852.254","0","5","11","11","0.011926","20/1/2016 00:00:00","16/5/2024 00:00:00","9/2/2023 00:00:00","11/8/2024 00:30:03"
"10","5",,,"168","牛魔","niú_mó","牛牛|牛头|nm","99","4","233692621","24398648","1","0",,,"1","0.0000554262","705","0.0390755","300","0.425532","29.0986","10","0.000758898","456","0.0346058","204","0.447368","29.3844","11","0.00035235","1161","0.0371889","504","0.434109","0.0476713","29.2415","286596","41.905","9881","5635",,"80115","5404","0.989381","1335","733","0.1342","1.0034","3.3669","9.5263","0.662015","61055.5","32188.8","94676.1","86061.9","31487.1","7550.06","517.966","0.654388","13.3273","0.0706","0.0215","6.73351","261.2","5.78036","630.754","28.1318","7329.3","25","0.021533","27","0.023256","0.044789","112","0.096469","56","0.048234","0.144703","0.0165289","876.618","0","0","99","106","-0.00100179","24/11/2015 00:00:00",,"26/12/2023 00:00:00","11/8/2024 00:30:03"
"11","1","5",,"149","刘邦","liú_bāng","lb","99","0.5","233694167","22965954","1","0.25",,,"8206","0.454828","3361","0.186288","1545","0.459685","117.095","8290","0.629126","1994","0.151324","963","0.482949","133.053","16496","0.528396","5355","0.17153","2508","0.468347","0.0207028","125.074","1514150","31.3156","12172","28248",,"80108","14602","0.514173","1347","3015","0.106166","2.8969","3.3774","6.7472","0.748459","179386","43361.9","100940","85949.6","31085.7","9054.5","634.822","0.617129","13.6504","0.29","0.093","6.25683","329.131","32.1776","2737.94","7.08105","13643.1","347","0.064799","338","0.063119","0.127918","712","0.13296","407","0.076004","0.208964","0.0165289","852.86","1","0","6","6","0.00253384","26/4/2016 00:00:00","28/3/2024 00:00:00","28/1/2022 00:00:00","11/8/2024 00:30:03"
"12","1",,,"144","程咬金","chéng_yǎo_jīn","金金|小金金|cyj","99","5","233690973",,"1","0",,,"2","0.000110852","149","0.00825851","67","0.449664","24.1488","3","0.000227669","273","0.0207179","125","0.457875","27.0658","5","0.000160159","422","0.0135174","192","0.454976","0.00177528","25.6073","247930","26.997","9766","1779",,"80104","828","0.526048","1421","192","0.121982","1.981","3.5","3.9218","0.829621","282737","54179.9","130665","104451","37106.3","9856.05","696.81","0.40695","13.6351","0.6635","0.2393","3.79528","905.815","40.0355","5097.64","1.82227","129416","29","0.06872","26","0.061611","0.130332","51","0.120853","38","0.090047","0.2109","0","825.569","0","0","110","115","-0.000874809","1/1/1999 00:00:00","11/4/2024 00:00:00","25/4/2024 00:00:00","11/8/2024 00:30:03"
"13","1",,,"140","关羽","guān_yǔ","二哥|武圣|冰封|冰峰|冰马|关二爷|gy","99","2.5","233694489",,"1","0",,,"2","0.000110852","1082","0.0599712","558","0.515712","37.7937","2","0.00015178","844","0.064051","452","0.535545","39.6064","4","0.000128127","1926","0.0616932","1010","0.524403","0.0270497","38.7001","456970","55.7985","11838","9101",,"80109","8075","0.938844","1331","845","0.0982444","3.1236","3.1521","5.0353","0.743873","213069","47466.7","71604.2","60122.5","23073.1","9682.76","666.951","0.498792","13.8894","0.1615","0.0421","5.64371","307.48","42.9964","1505.65","26.3686","8578.91","146","0.075805","168","0.087227","0.163032","294","0.152648","233","0.120976","0.273624","0.00826446","870.062","0","3","54","54","0.0020693","28/6/2016 00:00:00","25/4/2024 00:00:00","22/9/2022 00:00:00","11/8/2024 00:30:03"
"14","1",,,"135","项羽","xiàng_yǔ","西楚|霸王|xy","99","1.5","233689508","23066794","1","0.6",,,"140","0.00775967","1766","0.0978827","812","0.459796","43.5363","91","0.00690597","1486","0.112772","686","0.461642","46.4998","231","0.00739934","3252","0.104167","1498","0.46064","0.0075222","45.0181","520634","32.7435","11586","16316",,"80115","15040","0.883459","1334","4228","0.248355","2.2066","3.7239","4.8607","0.855873","199617","51575.7","88722.6","75814.1","24556.4","9035.22","634.976","0.461539","13.6516","0.3745","0.1245","4.06937","421.354","35.1633","3343.89","24.4825","23762.2","124","0.03813","164","0.050431","0.088561","289","0.088868","170","0.052276","0.141144","0.0909091","854.065","1","0","45","44","-0.00435513","1/1/1999 00:00:00","7/3/2024 00:00:00","9/2/2023 00:00:00","11/8/2024 00:30:03"
